name,length_cm,width_cm,height_cm,weight_kg,qty,fragile
T1,109,47,62,94.0,5,no
T2,89,81,50,69.9,5,no
T3,83,94,30,60.4,6,no
T4,41,83,71,38.9,8,no
T5,56,77,62,40.6,6,no
T6,107,44,50,50.6,2,no
T7,43,45,51,25.6,29,no
T8,98,85,71,65.1,1,no
T9,86,31,72,36.1,9,no
T10,57,40,73,39.3,8,no
T11,118,36,59,41.9,8,no
T12,49,28,61,19.9,15,no
T13,68,84,35,35.6,12,no
T14,94,83,35,63.1,3,no
T15,35,91,59,51.3,14,no
T16,60,56,56,32.9,13,no
T17,67,41,66,37.7,11,no
T18,79,62,30,41.4,2,no
T19,87,69,60,45.0,3,no
T20,41,55,56,20.3,1,yes
