name,length_cm,width_cm,height_cm,weight_kg,qty,fragile
T1,85,83,37,39.7,5,no
T2,82,55,60,60.3,10,no
T3,42,30,42,7.4,54,no
T4,107,65,80,162.5,1,no
T5,103,52,26,35.5,19,no
T6,48,91,30,20.3,23,no
T7,75,56,50,30.2,3,no
T8,95,61,75,92.1,5,no
T9,79,27,37,23.0,30,no
T10,81,52,48,21.0,1,no
T11,112,64,39,38.6,2,no
T12,105,26,77,22.7,1,no
T13,115,77,80,90.7,3,no
T14,93,28,30,17.9,28,no
T15,109,90,71,126.8,1,no
T16,97,30,60,30.0,14,yes
T17,58,75,60,39.1,4,no
T18,74,25,30,13.0,11,yes
T19,80,73,63,52.2,3,no
T20,35,38,34,12.6,22,no
